oid,"purchase date",status,"last ship date",unshipped
114-4069241-1576234,2019-12-04T02:05:03.612Z,Canceled,2019-12-11T07:59:59Z,0
114-3943929-0875431,2019-12-05T01:39:44.326Z,Canceled,2019-12-12T07:59:59Z,0
112-9367694-6414639,2019-12-05T12:50:38.418Z,Unshipped,2019-12-11T07:59:59Z,1
113-8383148-3161812,2019-12-05T17:06:05.410Z,Unshipped,2019-12-11T07:59:59Z,1
114-6183556-3933015,2019-12-05T17:52:49.661Z,Unshipped,2019-12-13T07:59:59Z,1
114-9256792-3268263,2019-12-05T21:20:29.988Z,Unshipped,2019-12-13T07:59:59Z,1
114-2425848-4348229,2019-12-05T23:53:26.046Z,Unshipped,2019-12-13T07:59:59Z,1
111-5178442-4185067,2019-12-06T01:56:16.793Z,Canceled,2019-12-11T07:59:59Z,0
111-8749861-3499448,2019-12-06T21:42:39.253Z,Canceled,2019-12-12T07:59:59Z,0
113-8749126-9261851,2019-12-07T04:35:21.621Z,Canceled,2019-12-14T07:59:59Z,0
114-9059515-3689843,2019-12-07T16:10:27.763Z,Unshipped,2019-12-12T07:59:59Z,1
112-8144969-2570600,2019-12-07T20:55:25.110Z,Unshipped,2019-12-12T07:59:59Z,1
113-9427204-6173027,2019-12-08T21:03:07.938Z,Unshipped,2019-12-12T07:59:59Z,1
114-7582356-8796268,2019-12-08T21:49:20.241Z,Unshipped,2019-12-12T07:59:59Z,1
114-6907117-0665005,2019-12-08T22:50:45.203Z,Unshipped,2019-12-12T07:59:59Z,1
112-7007606-4110624,2019-12-08T23:23:46.942Z,Unshipped,2019-12-14T07:59:59Z,1
114-1346616-5414654,2019-12-08T23:26:53.235Z,Unshipped,2019-12-12T07:59:59Z,1
113-2212196-4629855,2019-12-08T23:45:23.945Z,Unshipped,2019-12-12T07:59:59Z,1
112-6056034-4398612,2019-12-09T05:05:37.233Z,Canceled,2019-12-12T07:59:59Z,0
111-1931711-7397033,2019-12-09T16:30:26.379Z,Unshipped,2019-12-13T07:59:59Z,1
112-5305601-8677040,2019-12-09T22:05:18.988Z,Unshipped,2019-12-17T07:59:59Z,1
111-3995596-4755431,2019-12-10T02:23:12.777Z,Canceled,2019-12-13T07:59:59Z,0
114-3710463-3928267,2019-12-10T03:13:37.279Z,Unshipped,2019-12-17T07:59:59Z,1
111-6673862-2712213,2019-12-10T05:53:29.679Z,Unshipped,2019-12-13T07:59:59Z,1
113-4551057-1989842,2019-12-10T18:03:04.730Z,Unshipped,2019-12-14T07:59:59Z,1
